perfume_id,brand,category,longevity,sillage,best_time_of_day,best_season,price_tier,recommended_event
1,Lattafa,Aromatic Fougere,Light,Enormous,Day,Spring,Budget,Office
2,Hermes,Oriental Vanilla,Very Strong,Intimate,Both,Summer,Budget,Party/Club
3,Versace,Oud,Medium,Enormous,Day,Spring,Budget,Wedding
4,Prada,Floral Fruity,Medium,Intimate,Day,Summer,Budget,Date Night
5,YSL,Floral Fruity,Strong,Strong,Day,All Season,Luxury,Date Night
6,YSL,Oriental Vanilla,Very Strong,Strong,Day,Fall,Mid-Range,Party/Club
7,Guerlain,Oud,Light,Strong,Night,All Season,Luxury,Party/Club
8,Tom Ford,Oud,Strong,Strong,Night,Fall,Budget,Wedding
9,YSL,Woody Spicy,Strong,Intimate,Both,Fall,Mid-Range,Office
10,Mancera,Citrus Aromatic,Light,Enormous,Day,Summer,Luxury,Office
11,Byredo,Fresh Scent,Medium,Enormous,Night,All Season,Mid-Range,Casual Daywear
12,Lattafa,Gourmand,Light,Strong,Night,Spring,Mid-Range,Date Night
13,Tom Ford,Oriental Vanilla,Strong,Strong,Day,Fall,Mid-Range,Party/Club
14,Tom Ford,Oud,Strong,Strong,Day,Spring,Luxury,Wedding
15,Rasasi,Gourmand,Medium,Intimate,Day,All Season,Luxury,Date Night
16,Dior,Oriental Vanilla,Strong,Strong,Night,Winter,Budget,Beach/Vacation
17,Hermes,Aromatic Fougere,Medium,Moderate,Both,All Season,Budget,Office
18,Versace,Fresh Scent,Medium,Enormous,Night,Summer,Budget,Casual Daywear
19,Rasasi,Floral Fruity,Very Strong,Moderate,Both,Winter,Mid-Range,Date Night
20,Ajmal,Gourmand,Strong,Strong,Night,Winter,Budget,Date Night
21,YSL,Leather,Very Strong,Strong,Day,Spring,Mid-Range,Night Out
22,Mancera,Fresh Scent,Strong,Intimate,Night,Fall,Luxury,Casual Daywear
23,Lattafa,Gourmand,Strong,Strong,Night,Summer,Luxury,Date Night
24,Hermes,Amber Floral,Strong,Strong,Both,Fall,Mid-Range,Wedding
25,Mancera,Aromatic Fougere,Strong,Strong,Both,Winter,Mid-Range,Office
26,YSL,Gourmand,Strong,Strong,Both,Summer,Luxury,Date Night
27,Byredo,Aromatic Fougere,Very Strong,Strong,Both,Spring,Luxury,Office
