perfume_id,brand,category,longevity,sillage,best_time_of_day,best_season,price_tier,recommended_event,longevity_score,sillage_score
1,Lattafa,Aromatic Fougere,Light,Enormous,Day,Spring,Budget,Office,1,4
2,Hermes,Oriental Vanilla,Very Strong,Intimate,Both,Summer,Budget,Party/Club,4,1
3,Versace,Oud,Medium,Enormous,Day,Spring,Budget,Wedding,2,4
4,Prada,Floral Fruity,Medium,Intimate,Day,Summer,Budget,Date Night,2,1
5,Ysl,Floral Fruity,Strong,Strong,Day,All Season,Luxury,Date Night,3,3
6,Ysl,Oriental Vanilla,Very Strong,Strong,Day,Fall,Mid-Range,Party/Club,4,3
7,Guerlain,Oud,Light,Strong,Night,All Season,Luxury,Party/Club,1,3
8,Tom Ford,Oud,Strong,Strong,Night,Fall,Budget,Wedding,3,3
9,Ysl,Woody Spicy,Strong,Intimate,Both,Fall,Mid-Range,Office,3,1
10,Mancera,Citrus Aromatic,Light,Enormous,Day,Summer,Luxury,Office,1,4
11,Byredo,Fresh Scent,Medium,Enormous,Night,All Season,Mid-Range,Casual Daywear,2,4
12,Lattafa,Gourmand,Light,Strong,Night,Spring,Mid-Range,Date Night,1,3
13,Tom Ford,Oriental Vanilla,Strong,Strong,Day,Fall,Mid-Range,Party/Club,3,3
14,Tom Ford,Oud,Strong,Strong,Day,Spring,Luxury,Wedding,3,3
15,Rasasi,Gourmand,Medium,Intimate,Day,All Season,Luxury,Date Night,2,1
16,Dior,Oriental Vanilla,Strong,Strong,Night,Winter,Budget,Beach/Vacation,3,3
17,Hermes,Aromatic Fougere,Medium,Moderate,Both,All Season,Budget,Office,2,2
18,Versace,Fresh Scent,Medium,Enormous,Night,Summer,Budget,Casual Daywear,2,4
19,Rasasi,Floral Fruity,Very Strong,Moderate,Both,Winter,Mid-Range,Date Night,4,2
20,Ajmal,Gourmand,Strong,Strong,Night,Winter,Budget,Date Night,3,3
21,Ysl,Leather,Very Strong,Strong,Day,Spring,Mid-Range,Night Out,4,3
22,Mancera,Fresh Scent,Strong,Intimate,Night,Fall,Luxury,Casual Daywear,3,1
23,Lattafa,Gourmand,Strong,Strong,Night,Summer,Luxury,Date Night,3,3
24,Hermes,Amber Floral,Strong,Strong,Both,Fall,Mid-Range,Wedding,3,3
25,Mancera,Aromatic Fougere,Strong,Strong,Both,Winter,Mid-Range,Office,3,3
26,Ysl,Gourmand,Strong,Strong,Both,Summer,Luxury,Date Night,3,3
27,Byredo,Aromatic Fougere,Very Strong,Strong,Both,Spring,Luxury,Office,4,3
28,Versace,Floral Fruity,Very Strong,Strong,Both,All Season,Luxury,Date Night,4,3
29,Chanel,Oriental Vanilla,Medium,Enormous,Both,Summer,Budget,Party/Club,2,4
30,Ysl,Leather,Light,Enormous,Day,Summer,Budget,Night Out,1,4
31,Creed,Aromatic Fougere,Medium,Enormous,Day,All Season,Budget,Office,2,4
32,Mancera,Citrus Aromatic,Light,Moderate,Day,Fall,Budget,Office,1,2
33,Lattafa,Citrus Aromatic,Light,Strong,Day,All Season,Luxury,Office,1,3
34,Rasasi,Amber Floral,Strong,Strong,Night,Summer,Mid-Range,Wedding,3,3
35,Mancera,Gourmand,Medium,Moderate,Both,Winter,Luxury,Date Night,2,2
36,Byredo,Floral Fruity,Light,Strong,Both,Spring,Mid-Range,Date Night,1,3
37,Guerlain,Aromatic Fougere,Very Strong,Enormous,Night,Summer,Mid-Range,Office,4,4
38,Montblanc,Citrus Aromatic,Medium,Strong,Both,Fall,Mid-Range,Office,2,3
39,Chanel,Aromatic Fougere,Strong,Enormous,Night,Summer,Mid-Range,Night Out,3,4
40,Armaf,Oud,Light,Moderate,Night,Spring,Mid-Range,Wedding,1,2
41,Lattafa,Oriental Vanilla,Very Strong,Intimate,Day,Winter,Mid-Range,Party/Club,4,1
42,Rasasi,Oud,Very Strong,Enormous,Both,All Season,Luxury,Wedding,4,4
43,Chanel,Floral Fruity,Strong,Strong,Both,Fall,Luxury,Date Night,3,3
44,Chanel,Gourmand,Strong,Strong,Both,All Season,Budget,Casual Daywear,3,3
45,Prada,Leather,Light,Moderate,Day,Winter,Mid-Range,Night Out,1,2
46,Hermes,Citrus Aromatic,Very Strong,Enormous,Both,Summer,Mid-Range,Office,4,4
47,Tom Ford,Oud,Light,Enormous,Both,Fall,Luxury,Wedding,1,4
48,Rasasi,Floral Fruity,Medium,Enormous,Both,All Season,Mid-Range,Date Night,2,4
49,Guerlain,Citrus Aromatic,Light,Intimate,Both,Summer,Mid-Range,Office,1,1
50,Tom Ford,Leather,Light,Strong,Both,Winter,Budget,Night Out,1,3
51,Hermes,Woody Spicy,Light,Intimate,Day,All Season,Luxury,Formal Event,1,1
52,Creed,Floral Fruity,Strong,Enormous,Day,Summer,Luxury,Date Night,3,4
53,Ysl,Fresh Scent,Medium,Intimate,Both,Spring,Luxury,Casual Daywear,2,1
54,Tom Ford,Oud,Light,Intimate,Both,Winter,Luxury,Wedding,1,1
55,Versace,Fresh Scent,Strong,Enormous,Night,Fall,Luxury,Casual Daywear,3,4
56,Dior,Floral Fruity,Strong,Moderate,Both,All Season,Mid-Range,Date Night,3,2
57,Armaf,Oud,Light,Moderate,Night,Fall,Luxury,Wedding,1,2
58,Armaf,Aromatic Fougere,Very Strong,Enormous,Day,Summer,Luxury,Party/Club,4,4
59,Tom Ford,Aquatic,Light,Intimate,Day,All Season,Luxury,Beach/Vacation,1,1
60,Montblanc,Gourmand,Very Strong,Strong,Day,All Season,Budget,Date Night,4,3
61,Montblanc,Woody Spicy,Medium,Enormous,Both,Summer,Luxury,Formal Event,2,4
62,Hermes,Oriental Vanilla,Medium,Enormous,Night,Summer,Mid-Range,Party/Club,2,4
63,Mancera,Citrus Aromatic,Very Strong,Moderate,Both,Fall,Luxury,Office,4,2
64,Versace,Aromatic Fougere,Light,Moderate,Both,Summer,Mid-Range,Beach/Vacation,1,2
65,Dior,Floral Fruity,Medium,Moderate,Day,Winter,Mid-Range,Date Night,2,2
66,Mancera,Woody Spicy,Very Strong,Enormous,Night,All Season,Mid-Range,Formal Event,4,4
67,Prada,Fresh Scent,Medium,Moderate,Both,Summer,Budget,Casual Daywear,2,2
68,Montblanc,Gourmand,Medium,Strong,Day,Fall,Budget,Date Night,2,3
69,Armaf,Woody Spicy,Very Strong,Intimate,Night,Fall,Mid-Range,Formal Event,4,1
70,Chanel,Leather,Very Strong,Enormous,Day,Spring,Luxury,Night Out,4,4
71,Prada,Leather,Medium,Moderate,Day,Summer,Luxury,Date Night,2,2
72,Tom Ford,Aquatic,Very Strong,Strong,Both,Fall,Budget,Beach/Vacation,4,3
73,Rasasi,Fresh Scent,Very Strong,Moderate,Day,Summer,Luxury,Casual Daywear,4,2
74,Dior,Leather,Very Strong,Strong,Day,Winter,Budget,Night Out,4,3
75,Versace,Floral Fruity,Light,Intimate,Both,All Season,Luxury,Date Night,1,1
76,Creed,Fresh Scent,Medium,Enormous,Day,Winter,Budget,Casual Daywear,2,4
77,Dior,Gourmand,Very Strong,Intimate,Day,Fall,Mid-Range,Date Night,4,1
78,Dior,Woody Spicy,Medium,Moderate,Both,All Season,Luxury,Formal Event,2,2
79,Armaf,Fresh Scent,Strong,Intimate,Day,All Season,Budget,Casual Daywear,3,1
80,Byredo,Aquatic,Light,Enormous,Both,Fall,Mid-Range,Beach/Vacation,1,4
81,Montblanc,Amber Floral,Medium,Intimate,Night,Winter,Budget,Wedding,2,1
82,Guerlain,Oud,Very Strong,Intimate,Night,Winter,Mid-Range,Wedding,4,1
83,Tom Ford,Gourmand,Medium,Intimate,Night,All Season,Luxury,Date Night,2,1
84,Dior,Gourmand,Medium,Intimate,Both,Summer,Mid-Range,Date Night,2,1
85,Creed,Fresh Scent,Very Strong,Strong,Night,All Season,Budget,Casual Daywear,4,3
86,Guerlain,Aquatic,Light,Enormous,Day,Spring,Luxury,Office,1,4
87,Lattafa,Fresh Scent,Very Strong,Moderate,Night,Spring,Mid-Range,Casual Daywear,4,2
88,Lattafa,Gourmand,Strong,Strong,Day,Spring,Luxury,Date Night,3,3
89,Chanel,Woody Spicy,Light,Intimate,Day,Fall,Mid-Range,Formal Event,1,1
90,Chanel,Oriental Vanilla,Very Strong,Moderate,Night,Summer,Mid-Range,Party/Club,4,2
91,Ysl,Aquatic,Medium,Intimate,Night,All Season,Luxury,Beach/Vacation,2,1
92,Guerlain,Gourmand,Very Strong,Enormous,Day,Fall,Mid-Range,Date Night,4,4
93,Armaf,Gourmand,Very Strong,Moderate,Night,Spring,Luxury,Date Night,4,2
94,Hermes,Gourmand,Light,Intimate,Day,Winter,Luxury,Beach/Vacation,1,1
95,Dior,Aquatic,Medium,Enormous,Both,Fall,Mid-Range,Beach/Vacation,2,4
96,Byredo,Oud,Medium,Strong,Both,All Season,Mid-Range,Wedding,2,3
97,Armaf,Aromatic Fougere,Strong,Moderate,Both,Spring,Luxury,Office,3,2
98,Mancera,Floral Fruity,Medium,Moderate,Night,Winter,Budget,Date Night,2,2
99,Montblanc,Fresh Scent,Strong,Moderate,Night,Winter,Luxury,Casual Daywear,3,2
100,Tom Ford,Oriental Vanilla,Very Strong,Intimate,Day,All Season,Luxury,Party/Club,4,1
101,Ysl,Citrus Aromatic,Light,Strong,Both,Spring,Luxury,Office,1,3
102,Montblanc,Amber Floral,Very Strong,Enormous,Night,All Season,Luxury,Wedding,4,4
103,Dior,Amber Floral,Medium,Enormous,Night,All Season,Budget,Wedding,2,4
104,Byredo,Oud,Strong,Intimate,Day,Spring,Mid-Range,Wedding,3,1
105,Versace,Oud,Light,Strong,Both,Summer,Budget,Wedding,1,3
106,Rasasi,Aromatic Fougere,Medium,Enormous,Both,Spring,Budget,Office,2,4
107,Versace,Citrus Aromatic,Light,Enormous,Night,Summer,Luxury,Office,1,4
108,Byredo,Leather,Strong,Enormous,Night,Spring,Luxury,Night Out,3,4
109,Mancera,Oriental Vanilla,Light,Moderate,Night,Fall,Mid-Range,Party/Club,1,2
110,Tom Ford,Floral Fruity,Light,Enormous,Day,Summer,Luxury,Office,1,4
111,Versace,Oriental Vanilla,Very Strong,Enormous,Both,All Season,Budget,Party/Club,4,4
112,Lattafa,Fresh Scent,Strong,Moderate,Night,Spring,Budget,Casual Daywear,3,2
113,Ysl,Citrus Aromatic,Medium,Strong,Both,Spring,Luxury,Office,2,3
114,Ajmal,Fresh Scent,Light,Enormous,Day,All Season,Budget,Casual Daywear,1,4
115,Prada,Leather,Very Strong,Moderate,Both,All Season,Mid-Range,Night Out,4,2
116,Chanel,Oriental Vanilla,Medium,Intimate,Day,Fall,Budget,Party/Club,2,1
117,Creed,Aquatic,Very Strong,Strong,Day,All Season,Luxury,Beach/Vacation,4,3
118,Creed,Aromatic Fougere,Light,Intimate,Day,Summer,Mid-Range,Office,1,1
119,Prada,Leather,Light,Moderate,Night,All Season,Mid-Range,Night Out,1,2
120,Creed,Aquatic,Strong,Moderate,Both,Spring,Mid-Range,Beach/Vacation,3,2
121,Ajmal,Fresh Scent,Very Strong,Strong,Day,Spring,Mid-Range,Casual Daywear,4,3
122,Byredo,Aromatic Fougere,Very Strong,Moderate,Night,Winter,Luxury,Office,4,2
123,Tom Ford,Aquatic,Light,Strong,Night,Fall,Budget,Beach/Vacation,1,3
124,Dior,Oriental Vanilla,Very Strong,Moderate,Night,Spring,Budget,Party/Club,4,2
125,Creed,Amber Floral,Very Strong,Enormous,Day,All Season,Mid-Range,Wedding,4,4
126,Armaf,Fresh Scent,Very Strong,Strong,Day,Spring,Budget,Casual Daywear,4,3
127,Guerlain,Aromatic Fougere,Light,Intimate,Night,All Season,Mid-Range,Office,1,1
128,Tom Ford,Woody Spicy,Medium,Moderate,Night,Spring,Mid-Range,Formal Event,2,2
129,Lattafa,Aquatic,Very Strong,Intimate,Day,Summer,Mid-Range,Beach/Vacation,4,1
130,Versace,Aquatic,Light,Moderate,Day,Winter,Luxury,Beach/Vacation,1,2
131,Versace,Citrus Aromatic,Light,Moderate,Night,Summer,Mid-Range,Office,1,2
132,Versace,Fresh Scent,Strong,Moderate,Night,Winter,Budget,Casual Daywear,3,2
133,Hermes,Aromatic Fougere,Strong,Intimate,Both,Spring,Budget,Office,3,1
134,Tom Ford,Fresh Scent,Very Strong,Intimate,Night,Summer,Budget,Casual Daywear,4,1
135,Hermes,Aromatic Fougere,Very Strong,Moderate,Night,Summer,Budget,Office,4,2
136,Chanel,Woody Spicy,Medium,Enormous,Day,Fall,Budget,Formal Event,2,4
137,Mancera,Aromatic Fougere,Medium,Moderate,Night,All Season,Luxury,Office,2,2
138,Rasasi,Fresh Scent,Light,Enormous,Night,Fall,Mid-Range,Casual Daywear,1,4
139,Prada,Oriental Vanilla,Medium,Strong,Day,All Season,Budget,Party/Club,2,3
140,Guerlain,Oriental Vanilla,Very Strong,Intimate,Day,Spring,Budget,Party/Club,4,1
141,Armaf,Oud,Light,Moderate,Day,Winter,Mid-Range,Wedding,1,2
142,Rasasi,Gourmand,Very Strong,Intimate,Both,Spring,Mid-Range,Date Night,4,1
143,Lattafa,Aquatic,Very Strong,Enormous,Night,Summer,Luxury,Beach/Vacation,4,4
144,Tom Ford,Leather,Very Strong,Intimate,Both,Summer,Luxury,Night Out,4,1
145,Creed,Amber Floral,Strong,Strong,Night,Summer,Mid-Range,Wedding,3,3
146,Hermes,Woody Spicy,Medium,Enormous,Day,Spring,Luxury,Formal Event,2,4
147,Ajmal,Floral Fruity,Strong,Strong,Night,Fall,Mid-Range,Date Night,3,3
148,Creed,Oud,Strong,Intimate,Both,Fall,Mid-Range,Wedding,3,1
149,Armaf,Oud,Very Strong,Moderate,Both,Summer,Luxury,Party/Club,4,2
150,Creed,Woody Spicy,Very Strong,Intimate,Both,All Season,Mid-Range,Formal Event,4,1
151,Dior,Woody Spicy,Very Strong,Intimate,Night,All Season,Luxury,Formal Event,4,1
152,Armaf,Amber Floral,Light,Intimate,Both,All Season,Budget,Night Out,1,1
153,Rasasi,Leather,Light,Strong,Day,Winter,Mid-Range,Night Out,1,3
154,Rasasi,Oud,Light,Strong,Both,Winter,Mid-Range,Wedding,1,3
155,Byredo,Oud,Strong,Moderate,Night,Spring,Budget,Wedding,3,2
156,Tom Ford,Leather,Very Strong,Enormous,Both,All Season,Luxury,Night Out,4,4
157,Byredo,Floral Fruity,Very Strong,Moderate,Both,All Season,Mid-Range,Date Night,4,2
158,Mancera,Woody Spicy,Medium,Enormous,Night,All Season,Mid-Range,Formal Event,2,4
159,Byredo,Amber Floral,Medium,Moderate,Night,All Season,Mid-Range,Wedding,2,2
160,Rasasi,Aquatic,Light,Moderate,Night,Winter,Mid-Range,Beach/Vacation,1,2
161,Lattafa,Gourmand,Light,Intimate,Both,Spring,Mid-Range,Date Night,1,1
162,Rasasi,Aquatic,Medium,Intimate,Both,Winter,Budget,Beach/Vacation,2,1
163,Lattafa,Fresh Scent,Very Strong,Strong,Day,Fall,Budget,Casual Daywear,4,3
164,Ajmal,Citrus Aromatic,Very Strong,Intimate,Day,Fall,Budget,Office,4,1
165,Creed,Amber Floral,Very Strong,Intimate,Night,Winter,Budget,Wedding,4,1
166,Chanel,Aquatic,Strong,Intimate,Both,All Season,Mid-Range,Beach/Vacation,3,1
167,Tom Ford,Gourmand,Very Strong,Intimate,Day,Summer,Budget,Date Night,4,1
168,Creed,Fresh Scent,Very Strong,Enormous,Day,Fall,Mid-Range,Casual Daywear,4,4
169,Versace,Woody Spicy,Medium,Moderate,Night,Summer,Budget,Formal Event,2,2
170,Tom Ford,Floral Fruity,Strong,Intimate,Both,Winter,Mid-Range,Date Night,3,1
171,Lattafa,Oud,Medium,Strong,Night,Winter,Mid-Range,Wedding,2,3
172,Creed,Floral Fruity,Medium,Enormous,Both,Spring,Mid-Range,Date Night,2,4
